"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Oracle CB50 - Featured area","SUCCESS","2018-01-07T16:43:43.703+05:30[Asia/Calcutta]","0.0","18.75"
"About Oracle CB50","Oracle CB50 - Featured area Page","FAILURE","2018-01-07T16:44:04.757+05:30[Asia/Calcutta]","0.0","51.42"
"About Oracle CB50","Oracle CB50 - Featured area","SUCCESS","2018-01-07T16:58:17.333+05:30[Asia/Calcutta]","0.0","28.61"
"About Oracle CB50","Oracle CB50 - Featured area Page","FAILURE","2018-01-07T16:58:46.114+05:30[Asia/Calcutta]","0.0","77.45"
"About Oracle CB50","Oracle CB50 - Featured area","SUCCESS","2018-01-07T17:15:45.900+05:30[Asia/Calcutta]","0.0","38.71"
"About Oracle CB50","Oracle CB50 - Featured area Page","FAILURE","2018-01-07T17:16:26.811+05:30[Asia/Calcutta]","0.0","68.01"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T16:44:58.649+05:30[Asia/Calcutta]","0.0","12.7"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T16:45:13.596+05:30[Asia/Calcutta]","0.0","17.42"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T16:45:33.259+05:30[Asia/Calcutta]","0.0","19.42"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T16:45:55.820+05:30[Asia/Calcutta]","0.0","23.24"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T16:46:21.504+05:30[Asia/Calcutta]","0.0","18.78"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T17:00:04.054+05:30[Asia/Calcutta]","0.0","20.15"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T17:00:24.424+05:30[Asia/Calcutta]","0.0","23.24"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T17:00:47.916+05:30[Asia/Calcutta]","0.0","24.37"
