"Story","Title","Result","Date","Stability","Duration (s)"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2018-01-07T16:46:42.569+05:30[Asia/Calcutta]","0.0","87.39"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2018-01-07T16:48:12.206+05:30[Asia/Calcutta]","0.0","10.08"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2018-01-07T16:48:24.508+05:30[Asia/Calcutta]","0.0","21.45"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2018-01-07T16:48:48.192+05:30[Asia/Calcutta]","0.0","23.4"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2018-01-07T16:49:13.804+05:30[Asia/Calcutta]","0.0","17.22"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2018-01-07T16:49:33.258+05:30[Asia/Calcutta]","0.0","17.38"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2018-01-07T17:02:33.698+05:30[Asia/Calcutta]","0.0","255.92"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2018-01-07T17:06:49.960+05:30[Asia/Calcutta]","0.0","22.38"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2018-01-07T17:07:12.578+05:30[Asia/Calcutta]","0.0","35.37"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2018-01-07T17:07:48.171+05:30[Asia/Calcutta]","0.0","31.07"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2018-01-07T17:08:19.496+05:30[Asia/Calcutta]","0.0","21.44"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2018-01-07T17:08:41.156+05:30[Asia/Calcutta]","0.0","28.22"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2018-01-07T17:21:06.058+05:30[Asia/Calcutta]","0.0","417.58"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2018-01-07T17:28:05.634+05:30[Asia/Calcutta]","0.0","28.4"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2018-01-07T17:28:35.639+05:30[Asia/Calcutta]","0.0","44.0"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2018-01-07T17:29:21.295+05:30[Asia/Calcutta]","0.0","42.01"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2018-01-07T17:30:04.963+05:30[Asia/Calcutta]","0.0","33.01"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2018-01-07T17:30:39.633+05:30[Asia/Calcutta]","0.0","35.67"
