"Story","Title","Result","Date","Stability","Duration (s)"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T16:44:58.649+05:30[Asia/Calcutta]","0.0","12.7"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T16:45:13.596+05:30[Asia/Calcutta]","0.0","17.42"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T16:45:33.259+05:30[Asia/Calcutta]","0.0","19.42"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T16:45:55.820+05:30[Asia/Calcutta]","0.0","23.24"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T16:46:21.504+05:30[Asia/Calcutta]","0.0","18.78"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T17:00:04.054+05:30[Asia/Calcutta]","0.0","20.15"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T17:00:24.424+05:30[Asia/Calcutta]","0.0","23.24"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T17:00:47.916+05:30[Asia/Calcutta]","0.0","24.37"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T17:01:12.501+05:30[Asia/Calcutta]","0.0","53.85"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T17:02:06.612+05:30[Asia/Calcutta]","0.0","26.84"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T17:17:36.700+05:30[Asia/Calcutta]","0.0","31.45"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T17:18:09.921+05:30[Asia/Calcutta]","0.0","38.44"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T17:18:50.091+05:30[Asia/Calcutta]","0.0","37.32"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T17:19:29.200+05:30[Asia/Calcutta]","0.0","54.88"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T17:20:25.730+05:30[Asia/Calcutta]","0.0","38.7"
