"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Oracle CB50 - Featured area","SUCCESS","2018-01-07T16:43:43.703+05:30[Asia/Calcutta]","0.0","18.75"
"About Oracle CB50","Oracle CB50 - Featured area Page","FAILURE","2018-01-07T16:44:04.757+05:30[Asia/Calcutta]","0.0","51.42"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T16:44:58.649+05:30[Asia/Calcutta]","0.0","12.7"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T16:45:13.596+05:30[Asia/Calcutta]","0.0","17.42"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T16:45:33.259+05:30[Asia/Calcutta]","0.0","19.42"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T16:45:55.820+05:30[Asia/Calcutta]","0.0","23.24"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T16:46:21.504+05:30[Asia/Calcutta]","0.0","18.78"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2018-01-07T16:46:42.569+05:30[Asia/Calcutta]","0.0","87.39"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2018-01-07T16:48:12.206+05:30[Asia/Calcutta]","0.0","10.08"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2018-01-07T16:48:24.508+05:30[Asia/Calcutta]","0.0","21.45"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2018-01-07T16:48:48.192+05:30[Asia/Calcutta]","0.0","23.4"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2018-01-07T16:49:13.804+05:30[Asia/Calcutta]","0.0","17.22"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2018-01-07T16:49:33.258+05:30[Asia/Calcutta]","0.0","17.38"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2018-01-07T16:49:52.942+05:30[Asia/Calcutta]","0.0","17.85"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2018-01-07T16:50:13.019+05:30[Asia/Calcutta]","0.0","18.67"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2018-01-07T16:50:33.900+05:30[Asia/Calcutta]","0.0","37.32"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2018-01-07T16:51:13.552+05:30[Asia/Calcutta]","0.0","20.41"
