"Story","Title","Result","Date","Stability","Duration (s)"
"About Oracle CB50","Oracle CB50 - Featured area","SUCCESS","2018-01-07T16:58:17.333+05:30[Asia/Calcutta]","0.0","28.61"
"About Oracle CB50","Oracle CB50 - Featured area Page","FAILURE","2018-01-07T16:58:46.114+05:30[Asia/Calcutta]","0.0","77.45"
"AcceleratorCN24","Top Actions - Scroll down the page to view Top Actions","SUCCESS","2018-01-07T17:00:04.054+05:30[Asia/Calcutta]","0.0","20.15"
"AcceleratorCN24","Top Actions - links and icons","SUCCESS","2018-01-07T17:00:24.424+05:30[Asia/Calcutta]","0.0","23.24"
"AcceleratorCN24","Top Actions - “More” menu","SUCCESS","2018-01-07T17:00:47.916+05:30[Asia/Calcutta]","0.0","24.37"
"AcceleratorCN24","Top Actions – expanded “More” menu","SUCCESS","2018-01-07T17:01:12.501+05:30[Asia/Calcutta]","0.0","53.85"
"AcceleratorCN24","Top Actions – hover over state - “More” menu","SUCCESS","2018-01-07T17:02:06.612+05:30[Asia/Calcutta]","0.0","26.84"
"CarouselBannerHP10","Carousel Banner - View each story slide","SUCCESS","2018-01-07T17:02:33.698+05:30[Asia/Calcutta]","0.0","255.92"
"CarouselBannerHP10","Carousel Banner - Stories auto rotate","SUCCESS","2018-01-07T17:06:49.960+05:30[Asia/Calcutta]","0.0","22.38"
"CarouselBannerHP10","Carousel Banner - Navigate through stories using nav arrows","SUCCESS","2018-01-07T17:07:12.578+05:30[Asia/Calcutta]","0.0","35.37"
"CarouselBannerHP10","Carousel Banner - Nav arrows - Hover over state","SUCCESS","2018-01-07T17:07:48.171+05:30[Asia/Calcutta]","0.0","31.07"
"CarouselBannerHP10","Carousel Banner - Place dots - Hover over state","SUCCESS","2018-01-07T17:08:19.496+05:30[Asia/Calcutta]","0.0","21.44"
"CarouselBannerHP10","Carousel Banner - CTA button - Hover over state","SUCCESS","2018-01-07T17:08:41.156+05:30[Asia/Calcutta]","0.0","28.22"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2018-01-07T17:09:09.617+05:30[Asia/Calcutta]","0.0","27.43"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2018-01-07T17:09:37.116+05:30[Asia/Calcutta]","0.0","59.15"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2018-01-07T17:10:36.473+05:30[Asia/Calcutta]","0.0","46.89"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2018-01-07T17:11:23.600+05:30[Asia/Calcutta]","0.0","39.08"
